 ,Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
89,Track_744,2,0,0,0,0,0,0.233,28.193,28.426,6.682,175,175,24.527,307.92,0,28.679,28.679,28.679,28.679,NaN,188.578,264.056,113.1,264.056,75.478
90,Track_749,3,0,0,0,0,0,0.466,30.756,31.222,2.491,180,180,19.518,287.947,0,8.703,13.571,3.835,13.571,6.885,116.027,134.526,106.355,107.199,13.085
91,Track_750,2,0,0,0,0,0,0.233,30.989,31.222,2.368,181,181,20.185,333.704,0,10.162,10.162,10.162,10.162,NaN,118.515,122.417,114.614,122.417,3.901
92,Track_756,2,0,0,0,0,0,0.233,31.455,31.688,4.481,187,187,55.12,346.457,0,19.233,19.233,19.233,19.233,NaN,146.689,170.239,123.139,170.239,23.55
93,Track_757,6,0,0,0,0,0,1.165,31.222,32.387,5.754,188,188,50.187,335.618,0,9.581,17.019,2.744,10.226,5.235,228.467,268.045,196.497,218.261,24.316
94,Track_760,4,1,2,0,0,0,1.165,31.688,32.853,10.936,191,191,30.836,324.423,0,15.35,27.462,5.686,12.902,11.092,119.132,138.383,105.651,124.037,13.137
95,Track_770,3,0,0,0,0,0,0.466,35.416,35.882,5.915,201,201,35.1,355.203,0,19.035,29.928,8.143,29.928,15.404,165.212,235.603,129.583,130.451,49.775
96,Track_771,3,0,0,0,0,0,0.466,35.416,35.882,2.144,202,202,41.249,318.562,0,44.5,48.939,40.061,48.939,6.277,119.006,141.704,104.773,110.54,16.222
97,Track_772,2,0,0,0,0,0,0.233,35.416,35.649,5.368,203,203,48.815,332.002,0,23.039,23.039,23.039,23.039,NaN,104.81,105.639,103.981,105.639,0.829
98,Track_773,3,0,0,0,0,0,0.466,35.416,35.882,12.592,204,204,30.304,348.073,0,30.168,53.421,6.914,53.421,32.885,120.956,150.115,105.872,106.879,20.623
99,Track_775,2,0,0,0,0,0,0.233,35.882,36.115,1.161,206,206,40.428,314.81,0,4.983,4.983,4.983,4.983,NaN,149.097,166.301,131.893,166.301,17.204
100,Track_781,4,1,2,0,0,0,1.165,37.513,38.678,14.539,212,212,38.769,325.554,0,12.752,21.076,4.377,12.804,8.35,154.478,219.251,109.767,167.989,43.314
101,Track_782,2,0,0,0,0,0,0.233,37.513,37.746,5.911,213,213,28.713,309.398,0,25.368,25.368,25.368,25.368,NaN,114.395,120.243,108.547,120.243,5.848
102,Track_787,10,2,3,0,0,0,3.029,38.911,41.94,10.052,218,218,39.138,355.848,0,11.916,21.735,3.058,10.383,7.202,146.29,199.057,105.366,152.922,32.416
103,Track_788,6,0,0,0,0,0,1.165,39.144,40.309,9.01,219,219,41.249,353.452,0,12.558,42.269,1.66,6.306,16.977,134.327,173.691,110.675,142.262,21.831
104,Track_790,2,0,0,0,0,0,0.233,39.377,39.61,11.378,221,221,33.805,325.534,0,48.832,48.832,48.832,48.832,NaN,124.307,129.057,119.557,129.057,4.75
105,Track_800,4,1,1,0,0,0,0.932,42.406,43.338,5.196,231,231,32.831,340.886,0,20.379,30.446,3.419,27.272,14.773,131.478,195.94,106.132,114.954,37.353
106,Track_807,6,2,1,0,0,0,1.631,43.105,44.736,4.03,238,238,40.383,328.969,0,4.301,8.221,0.568,4.069,3.332,118.965,150.603,108.206,110.647,15.481
107,Track_810,2,0,0,0,0,0,0.233,43.804,44.037,0.577,241,241,54.684,348.817,0,2.477,2.477,2.477,2.477,NaN,123.079,131.427,114.732,131.427,8.348
108,Track_811,11,1,2,0,0,0,2.796,43.804,46.6,15.293,242,242,41.53,336.693,0,8.442,18.463,1.753,8.243,5.043,182.499,293.527,108.991,160.828,65.487
109,Track_821,3,0,0,0,0,0,0.466,48.464,48.93,3.831,252,252,19.33,347.932,0,11.929,19.258,4.6,19.258,10.365,121.508,149.352,101.247,113.924,20.358
110,Track_826,2,0,0,0,0,0,0.233,49.396,49.629,3.625,257,257,45.259,350.844,0,15.558,15.558,15.558,15.558,NaN,124.689,134.404,114.973,134.404,9.716
111,Track_830,3,0,0,0,0,0,0.466,51.027,51.493,2.438,261,261,26.175,310.569,0,8.263,11.437,5.09,11.437,4.488,135.15,168.042,104.903,132.506,25.844
112,Track_835,2,0,0,0,0,0,0.233,51.26,51.493,0.862,266,266,27.493,307.644,0,3.699,3.699,3.699,3.699,NaN,162.979,198.494,127.463,198.494,35.515
113,Track_848,2,0,0,0,0,0,0.233,55.92,56.153,1.53,279,279,19.138,349.02,0,6.566,6.566,6.566,6.566,NaN,115.31,130.401,100.219,130.401,15.091
114,Track_859,2,0,0,0,0,0,0.233,58.716,58.949,6.938,290,290,38.475,352.254,0,29.776,29.776,29.776,29.776,NaN,148.377,168.842,127.912,168.842,20.465
115,Track_862,2,0,0,0,0,0,0.233,61.046,61.279,11.57,293,293,22.798,324.797,0,49.656,49.656,49.656,49.656,NaN,127.67,153.428,101.911,153.428,25.758
116,Track_866,3,0,0,0,0,0,0.466,62.211,62.677,5.003,297,297,53.204,359.333,0,11.052,17.205,4.9,17.205,8.701,106.87,114.207,101.15,105.252,5.452
117,Track_874,4,0,0,0,0,0,0.699,64.774,65.473,1.865,305,305,54.811,354.429,0,4.999,8.731,2.38,3.886,3.319,140.453,168.938,114.898,151.443,21.089
118,Track_877,5,0,0,0,0,0,0.932,65.24,66.172,2.488,308,308,54.699,358.817,0,6.588,8.987,2.092,8.159,3.094,141.156,184.948,121.703,132.875,23.339
119,Track_882,3,0,0,0,0,0,0.466,66.638,67.104,4.023,313,313,33.921,368.01,0,12.279,20.699,3.859,20.699,11.908,111.815,118.916,103.747,112.782,6.23
120,Track_885,2,0,0,0,0,0,0.233,66.871,67.104,2.175,316,316,33.633,370.265,0,9.333,9.333,9.333,9.333,NaN,110.576,113.889,107.263,113.889,3.313
